region;city;href_city;bank;bank_rank;href_bank
Алтайский край;Алейск;/banks/Altayskiy_kray/Aleysk/list/;Сбербанк России;1 место;/banks/bank/sberbank/
Алтайский край;Алейск;/banks/Altayskiy_kray/Aleysk/list/;Россельхозбанк;6 место;/banks/bank/rshb/
Алтайский край;Алейск;/banks/Altayskiy_kray/Aleysk/list/;Росбанк;13 место;/banks/bank/rosbank/
Алтайский край;Алейск;/banks/Altayskiy_kray/Aleysk/list/;Совкомбанк;20 место;/banks/bank/sovcombank/
Алтайский край;Алтайское;/banks/Altayskiy_kray/Altayskoe/list/;Сбербанк России;1 место;/banks/bank/sberbank/
Алтайский край;Алтайское;/banks/Altayskiy_kray/Altayskoe/list/;Совкомбанк;20 место;/banks/bank/sovcombank/
Алтайский край;Алтайское;/banks/Altayskiy_kray/Altayskoe/list/;Сибсоцбанк;355 место;/banks/bank/sibsocbank/
Алтайский край;Баево;/banks/Altayskiy_kray/Baevo/list/;Сбербанк России;1 место;/banks/bank/sberbank/
Алтайский край;Баево;/banks/Altayskiy_kray/Baevo/list/;Совкомбанк;20 место;/banks/bank/sovcombank/
Алтайский край;Барнаул;/banks/Barnaul/list/;Сбербанк России;1 место;/banks/bank/sberbank/
Алтайский край;Барнаул;/banks/Barnaul/list/;ВТБ;2 место;/banks/bank/vtb/
Алтайский край;Барнаул;/banks/Barnaul/list/;Газпромбанк;3 место;/banks/bank/gazprombank/
Алтайский край;Барнаул;/banks/Barnaul/list/;ФК Открытие;4 место;/banks/bank/fk_otkritie/
Алтайский край;Барнаул;/banks/Barnaul/list/;ВТБ 24;5 место;/banks/bank/vtb24/
Алтайский край;Барнаул;/banks/Barnaul/list/;Россельхозбанк;6 место;/banks/bank/rshb/
Алтайский край;Барнаул;/banks/Barnaul/list/;Альфа-Банк;7 место;/banks/bank/alfabank/
Алтайский край;Барнаул;/banks/Barnaul/list/;ЮниКредит Банк;10 место;/banks/bank/unicreditbank/
Алтайский край;Барнаул;/banks/Barnaul/list/;Промсвязьбанк;11 место;/banks/bank/promsvyazbank/
Алтайский край;Барнаул;/banks/Barnaul/list/;Росбанк;13 место;/banks/bank/rosbank/
Алтайский край;Барнаул;/banks/Barnaul/list/;Бинбанк;15 место;/banks/bank/binbank/
Алтайский край;Барнаул;/banks/Barnaul/list/;Ханты-Мансийский банк Открытие;18 место;/banks/bank/khmb/
