region;city;id;href
Алтайский край;Алейск;2429;/banks/Altayskiy_kray/Aleysk/list/
Алтайский край;Алтайское;2435;/banks/Altayskiy_kray/Altayskoe/list/
Алтайский край;Баево;2489;/banks/Altayskiy_kray/Baevo/list/
Алтайский край;Барнаул;620;/banks/Barnaul/list/
Алтайский край;Белокуриха;2530;/banks/Altayskiy_kray/Belokuriha/list/
Алтайский край;Бийск;621;/banks/Altayskiy_kray/Biysk/list/
Алтайский край;Благовещенка;2563;/banks/Altayskiy_kray/Blagovesschenka/list/
Алтайский край;Боровиха;5588;/banks/Altayskiy_kray/Boroviha/list/
Алтайский край;Бурла;5615;/banks/Altayskiy_kray/Burla/list/
Алтайский край;Быстрый Исток;5614;/banks/Altayskiy_kray/Byistryiy_Istok/list/
Алтайский край;Верхняя Суетка;5612;/banks/Altayskiy_kray/Verhnyaya_Suetka/list/
Алтайский край;Веселоярск;5639;/banks/Altayskiy_kray/Veseloyarsk/list/
Алтайский край;Волчиха;2690;/banks/Altayskiy_kray/Volchiha/list/
Алтайский край;Вылково;2700;/banks/Altayskiy_kray/Vyilkovo/list/
Алтайский край;Гальбштадт;5618;/banks/Altayskiy_kray/Gal~bsshtadt/list/
Алтайский край;Гилево;11403;/banks/Altayskiy_kray/Gilevo/list/
Алтайский край;Горняк;2739;/banks/Altayskiy_kray/Gornyak/list/
Алтайский край;Ельцовка;5630;/banks/Altayskiy_kray/El~tssovka/list/
Алтайский край;Завьялово;2863;/banks/Altayskiy_kray/Zav~yalovo/list/
Алтайский край;Залесово;5043;/banks/Altayskiy_kray/Zalesovo/list/
Алтайский край;Заринск;623;/banks/Altayskiy_kray/Zarinsk/list/
Алтайский край;Змеиногорск;2892;/banks/Altayskiy_kray/Zmeinogorsk/list/
Алтайский край;Зональное;2899;/banks/Altayskiy_kray/Zonal~noe/list/
Алтайский край;Калманка;2964;/banks/Altayskiy_kray/Kalmanka/list/
Алтайский край;Камень-на-Оби;2974;/banks/Altayskiy_kray/Kamen~-na-Obi/list/
Алтайский край;Ключи;3045;/banks/Altayskiy_kray/Klyuchi/list/
Алтайский край;Колывань;5625;/banks/Altayskiy_kray/Kolyivan~/list/
Алтайский край;Косиха;3089;/banks/Altayskiy_kray/Kosiha/list/
Алтайский край;Костин Лог;11987;/banks/Altayskiy_kray/Kostin_Log/list/
