region;city;id;href;region_code;
Москва;Москва;4;/banks/Moskva/;77;
Санкт-Петербург;Санкт-Петербург;211;/banks/Sankt-Peterburg/;78;
Новосибирская область;Новосибирск;677;/banks/Novosibirsk/;54;
Свердловская область;Екатеринбург;532;/banks/Ekaterinburg/;66;
Нижегородская область;Нижний Новгород;396;/banks/Nizhniy_Novgorod/;52;
Самарская область;Самара;489;/banks/Samara/;63;
Омская область;Омск;680;/banks/Omsk/;55;
Республика Татарстан;Казань;479;/banks/Kazan~/;16;
Республика Татарстан;Казань;479;/banks/Kazan~/;16;
Челябинская область;Челябинск;580;/banks/Chelyabinsk/;74;
Ростовская область;Ростов-на-Дону;345;/banks/Rostov-na-Donu/;61;
Республика Башкортостан;Уфа;459;/banks/Ufa/;2;
Волгоградская область;Волгоград;292;/banks/Volgograd/list/;34;
Пермский край;Пермь;433;/banks/Perm~/;59;
Красноярский край;Красноярск;657;/banks/Krasnoyarsk/;24;
Саратовская область;Саратов;498;/banks/Saratov/;64;
Краснодарский край;Краснодар;319;/banks/Krasnodar/;23;
Самарская область;Тольятти;490;/banks/Samarskaya_oblast~/Tol~yatti/;63;
Удмуртская Республика;Ижевск;508;/banks/Izhevsk/;18;
Удмуртская Республика;Ижевск;508;/banks/Izhevsk/;18;
Алтайский край;Барнаул;620;/banks/Barnaul/list/;22;
Приморский край;Владивосток;735;/banks/Vladivostok/;25;
Ярославская область;Ярославль;200;/banks/Yaroslavl~/;76;
Иркутская область;Иркутск;626;/banks/Irkutsk/list/;38;
Тюменская область;Тюмень;561;/banks/Tyumen~/;72;
Республика Дагестан;Махачкала;791;/banks/Mahachkala/;5;
Хабаровский край;Хабаровск;780;/banks/Habarovsk/;27;
Кемеровская область;Новокузнецк;641;/banks/Kemerovskaya_oblast~/Novokuznetssk/list/;42;
Оренбургская область;Оренбург;419;/banks/Orenburg/;56;
Кемеровская область;Кемерово;640;/banks/Kemerovo/list/;42;
Рязанская область;Рязань;169;/banks/Ryazan~/;62;
Томская область;Томск;695;/banks/Tomsk/;70;
Астраханская область;Астрахань;290;/banks/Astrahan~/list/;30;
Пензенская область;Пенза;431;/banks/Penza/;58;
Республика Татарстан;Набережные Челны;480;/banks/Respublika_Tatarstan/Naberezhnyie_Chelnyi/;16;
Республика Татарстан;Набережные Челны;480;/banks/Respublika_Tatarstan/Naberezhnyie_Chelnyi/;16;
Липецкая область;Липецк;158;/banks/Lipetssk/;48;
Тульская область;Тула;194;/banks/Tula/;71;
Кировская область;Киров;388;/banks/Kirov/;43;
Чувашская Республика;Чебоксары;517;/banks/Cheboksaryi/;21;
Калининградская область;Калининград;247;/banks/Kaliningrad/list/;39;
Брянская область;Брянск;103;/banks/Bryansk/list/;32;
Курская область;Курск;152;/banks/Kursk/;46;
Ивановская область;Иваново;136;/banks/Ivanovo/list/;37;
Челябинская область;Магнитогорск;581;/banks/Chelyabinskaya_oblast~/Magnitogorsk/;74;
Республика Бурятия;Улан-Удэ;688;/banks/Ulan-Udje/;3;
Тверская область;Тверь;191;/banks/Tver~/;69;
Ставропольский край;Ставрополь;813;/banks/Stavropol~/;26;
Свердловская область;Нижний Тагил;534;/banks/Sverdlovskaya_oblast~/Nizhniy_Tagil/;66;
Белгородская область;Белгород;92;/banks/Belgorod/list/;31;
Архангельская область;Архангельск;232;/banks/Arhangel~sk/list/;29;
Владимирская область;Владимир;106;/banks/Vladimir/list/;33;
Краснодарский край;Сочи;320;/banks/Krasnodarskiy_kray/Sochi/;23;
Курганская область;Курган;527;/banks/Kurgan/;45;
Смоленская область;Смоленск;176;/banks/Smolensk/;67;
Калужская область;Калуга;140;/banks/Kaluga/list/;40;
Забайкальский край;Чита;707;/banks/Chita/list/;75;
Орловская область;Орел;163;/banks/Orel/;57;
Волгоградская область;Волжский;293;/banks/Volgogradskaya_oblast~/Volzhskiy/list/;34;
Вологодская область;Череповец;241;/banks/Vologodskaya_oblast~/Cherepovetss/list/;35;
Республика Северная Осетия-Алания;Владикавказ;806;/banks/Vladikavkaz/;15;
Мурманская область;Мурманск;252;/banks/Murmansk/;51;
Ханты-Мансийский автономный округ;Сургут;566;/banks/Hantyi-Mansiyskiy_avtonomnyiy_okrug/Surgut/;86;
Вологодская область;Вологда;240;/banks/Vologda/list/;35;
Республика Мордовия;Саранск;476;/banks/Saransk/;13;
Тамбовская область;Тамбов;184;/banks/Tambov/;68;
Республика Башкортостан;Стерлитамак;462;/banks/Respublika_Basshkortostan/Sterlitamak/;2;
Республика Саха (Якутия);Якутск;769;/banks/Yakutsk/;14;
Костромская область;Кострома;148;/banks/Kostroma/;44;
